"","Highest grade in school completed by child","Child has high school degree","Child enrolled in college","Child has college degree","Child's annual wage in 1993","Child's age in 1993","Child's gender 1 female 0 male","Child's race is black","Child's race is hispanic","Child's race is white","Child is born in USA","Child lived with both biological parents aged 0-18","Nr. years aged 0-18 child lived with 2 bio parents","Age child stopped living with 2 bio parents","Nr. years aged 0-18 child lived with bio mother","Nr. years aged 0-18 child lived with bio father","Child's number of siblings","Mother has less than high school degree","Mother has high school degree","Mother has more than high school degree","Mother's education in unknown","Father has less than high school degree","Father has high school degree","Father has more than high school degree","Father's education in unknown","Mother child when child was aged 0-18","Age child when mother died","Father child when child was aged 0-18","Age child when father died","Father has drinking problem","Mother has drinking problem","Age mother at birth of child","Age father at birth of child","Reason for change: parent died","Reason for change: parents divorced","Reason for change: Parent unable to care","Reason for change: Child left to get married","Reason for change: Child left to be on own","Reason for change: Parent was too ill","Reason for change: Court removed child","Reason for change: Child got in trouble","Reason for change: Child ran away","Reason for change: Child left for college","Reason for change: Child left for military","Reason for change: other","Reason for change: unknown","Region of residence is east","Region of residence is west","Region of residence is north","Region of residence is south","Region of residence is outside U.S.","Sampling weight"
"51",16,1,1,0,18500,29,1,0,0,1,1,0,0,0,18,0,2,0,0,1,0,NA,NA,NA,1,0,NA,0,NA,1,0,25,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,599812
"52",12,1,0,0,26000,29,0,0,1,0,1,0,0,0,18,0,6,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,21,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,103107
"53",11,1,0,0,0,31,0,1,0,0,1,0,0,0,18,0,3,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,26,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,95399
"54",15,1,1,1,32000,35,0,1,0,0,1,0,0,0,18,0,4,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,15,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,363183
"55",13,1,1,0,48000,31,0,0,0,1,1,0,0,0,18,0,4,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,33,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,561420
"56",12,1,0,0,13000,31,1,0,0,1,1,0,0,0,2,0,8,0,1,0,0,0,0,1,0,0,NA,0,NA,0,0,35,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,464317
"57",13,1,1,0,12000,31,0,0,0,1,1,0,0,0,18,0,4,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,22,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,440805
"58",12,1,0,0,11484,30,1,1,0,0,1,0,0,0,18,0,4,0,1,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,105923
"59",10,0,0,0,0,35,1,1,0,0,1,0,0,0,18,0,4,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,16,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,170881
"60",12,1,0,0,7000,34,0,1,0,0,1,0,0,0,16,0,6,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,18,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,179307
"61",8,0,0,0,180,28,0,1,0,0,1,0,0,0,18,0,4,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,130422
"62",13,1,1,0,0,34,0,0,0,1,1,0,0,0,0,0,NA,1,0,0,0,1,0,0,0,0,NA,0,NA,1,1,29,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,718716
"63",10,1,0,0,16000,28,0,1,0,0,1,0,0,0,15,0,5,0,1,0,0,0,1,0,0,1,15,0,NA,0,0,26,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,238945
"64",12,1,0,0,8000,31,1,1,0,0,1,0,0,0,18,0,2,1,0,0,0,0,1,0,0,0,NA,0,NA,0,0,35,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,97237
"65",11,0,0,0,17000,33,0,0,1,0,1,0,0,0,17,0,7,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,29,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,106302
"66",11,0,0,0,7200,30,1,1,0,0,1,0,0,0,18,0,4,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,33,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,91902
"67",12,1,0,0,2500,31,1,1,0,0,1,0,0,0,5,0,12,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,17,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,144020
"68",11,0,0,0,0,33,1,1,0,0,1,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,NA,0,NA,0,1,24,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,173752
"69",12,1,0,0,15000,34,0,0,0,1,1,0,0,0,18,0,2,0,0,1,0,NA,NA,NA,1,0,NA,0,NA,0,0,25,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,678482
"70",14,1,1,0,13000,29,1,1,0,0,1,0,0,0,14,0,5,1,0,0,0,0,1,0,0,0,NA,0,NA,1,0,20,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,167279
"71",11,0,0,0,2300,30,0,1,0,0,1,0,0,0,18,0,4,1,0,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,31,36,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,203072
"72",10,1,0,0,0,31,0,0,0,1,1,0,0,0,18,0,5,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,18,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,484529
"73",15,1,1,1,800,35,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,NA,0,NA,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,662399
"74",12,1,0,0,20000,32,0,0,0,1,1,0,0,0,0,0,NA,0,1,0,0,1,0,0,0,0,NA,0,NA,0,0,29,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,598680
"75",10,0,0,0,50000,29,1,0,1,0,1,0,0,0,18,0,2,0,0,1,0,NA,NA,NA,1,0,NA,0,NA,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,84697
"76",15,1,1,0,24000,29,0,1,0,0,1,0,0,0,18,0,7,1,0,0,0,1,0,0,0,0,NA,0,NA,1,0,16,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,203990
"77",12,1,0,0,25000,32,0,1,0,0,1,0,0,0,18,0,1,0,1,0,0,NA,NA,NA,1,0,NA,0,NA,0,0,26,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,321922
"78",5,0,0,0,0,35,1,0,1,0,0,0,0,18,18,0,4,1,0,0,0,1,0,0,0,0,NA,0,NA,0,0,29,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,95839
